Epoch,Train_Loss,Val_Loss,Val_Accuracy,Val_Balanced_Accuracy,Val_ROC_AUC,Duration_Seconds
1,0.6986,0.6943,0.5089,0.5071,0.505,0.75
2,0.6955,0.693,0.5289,0.5265,0.5117,0.63
3,0.6934,0.6933,0.5,0.5002,0.5012,0.62
4,0.6934,0.6938,0.5089,0.5041,0.4856,0.61
5,0.6933,0.6944,0.5022,0.4966,0.4944,0.61
6,0.693,0.6942,0.4867,0.4844,0.4896,0.55
7,0.6926,0.6948,0.5222,0.5205,0.4939,0.69
8,0.6916,0.6948,0.4978,0.4961,0.4892,0.54
9,0.6916,0.6956,0.5022,0.5011,0.4887,0.64
10,0.6912,0.6965,0.5022,0.4995,0.4841,0.73
11,0.6901,0.6963,0.5044,0.5022,0.4837,0.55
12,0.6902,0.6967,0.4889,0.4858,0.483,0.64
13,0.6909,0.696,0.5111,0.5078,0.4911,0.7
14,0.69,0.6965,0.4667,0.4662,0.4861,0.63
15,0.6909,0.6981,0.5156,0.5111,0.4797,0.65
16,0.6901,0.6965,0.4733,0.4718,0.4823,0.66
17,0.6897,0.6963,0.5,0.4967,0.4865,0.63
18,0.6911,0.6965,0.4933,0.491,0.4866,0.7
19,0.6903,0.6956,0.4978,0.4959,0.4891,0.73
20,0.6902,0.6957,0.5178,0.5145,0.4937,0.65
