Step,Candidate Evaluated,Feature Set,Feature Count,Accuracy,Sensitivity,Specificity,Precision,F1-score,Balanced accuracy,ROC-AUC
1,ALCOHOL_CONSUMING,['ALCOHOL_CONSUMING'],1,0.4956,0.5132,0.4775,0.5021,0.5076,0.4953,0.4953
1,SMOKING,['SMOKING'],1,0.4867,0.4737,0.5,0.4932,0.4832,0.4868,0.4868
1,WHEEZING,['WHEEZING'],1,0.5178,0.5482,0.4865,0.523,0.5353,0.5174,0.5174
1,CHRONIC_DISEASE,['CHRONIC_DISEASE'],1,0.4933,0.5219,0.464,0.5,0.5107,0.4929,0.4929
1,YELLOW_FINGERS,['YELLOW_FINGERS'],1,0.5089,0.5,0.518,0.5158,0.5078,0.509,0.509
1,SHORTNESS_OF_BREATH,['SHORTNESS_OF_BREATH'],1,0.5067,1.0,0.0,0.5067,0.6726,0.5,0.4935
1,AGE,['AGE'],1,0.4956,0.7982,0.1847,0.5014,0.6159,0.4915,0.5145
1,GENDER,['GENDER'],1,0.4978,0.5088,0.4865,0.5043,0.5066,0.4976,0.4976
2,ALCOHOL_CONSUMING,"['WHEEZING', 'ALCOHOL_CONSUMING']",2,0.4867,0.7412,0.2252,0.4956,0.594,0.4832,0.505
2,SMOKING,"['WHEEZING', 'SMOKING']",2,0.52,0.7763,0.2568,0.5175,0.6211,0.5165,0.5099
2,CHRONIC_DISEASE,"['WHEEZING', 'CHRONIC_DISEASE']",2,0.5067,0.7763,0.2297,0.5086,0.6146,0.503,0.5137
2,YELLOW_FINGERS,"['WHEEZING', 'YELLOW_FINGERS']",2,0.5178,0.5482,0.4865,0.523,0.5353,0.5174,0.5222
2,SHORTNESS_OF_BREATH,"['WHEEZING', 'SHORTNESS_OF_BREATH']",2,0.5178,0.5482,0.4865,0.523,0.5353,0.5174,0.5131
2,AGE,"['WHEEZING', 'AGE']",2,0.5178,0.5482,0.4865,0.523,0.5353,0.5174,0.5242
2,GENDER,"['WHEEZING', 'GENDER']",2,0.5178,0.5482,0.4865,0.523,0.5353,0.5174,0.5159
3,ALCOHOL_CONSUMING,"['WHEEZING', 'YELLOW_FINGERS', 'ALCOHOL_CONSUMING']",3,0.4933,0.5219,0.464,0.5,0.5107,0.4929,0.5079
3,SMOKING,"['WHEEZING', 'YELLOW_FINGERS', 'SMOKING']",3,0.5133,0.6491,0.3739,0.5157,0.5748,0.5115,0.5118
3,CHRONIC_DISEASE,"['WHEEZING', 'YELLOW_FINGERS', 'CHRONIC_DISEASE']",3,0.5089,0.6447,0.3694,0.5122,0.5709,0.5071,0.514
3,SHORTNESS_OF_BREATH,"['WHEEZING', 'YELLOW_FINGERS', 'SHORTNESS_OF_BREATH']",3,0.5178,0.5482,0.4865,0.523,0.5353,0.5174,0.5202
3,AGE,"['WHEEZING', 'YELLOW_FINGERS', 'AGE']",3,0.5356,0.614,0.455,0.5364,0.5726,0.5345,0.5254
3,GENDER,"['WHEEZING', 'YELLOW_FINGERS', 'GENDER']",3,0.52,0.6491,0.3874,0.5211,0.5781,0.5183,0.5185
4,ALCOHOL_CONSUMING,"['WHEEZING', 'YELLOW_FINGERS', 'AGE', 'ALCOHOL_CONSUMING']",4,0.4844,0.5614,0.4054,0.4923,0.5246,0.4834,0.5116
4,SMOKING,"['WHEEZING', 'YELLOW_FINGERS', 'AGE', 'SMOKING']",4,0.5178,0.6096,0.4234,0.5206,0.5616,0.5165,0.5142
4,CHRONIC_DISEASE,"['WHEEZING', 'YELLOW_FINGERS', 'AGE', 'CHRONIC_DISEASE']",4,0.5022,0.5965,0.4054,0.5075,0.5484,0.5009,0.5166
4,SHORTNESS_OF_BREATH,"['WHEEZING', 'YELLOW_FINGERS', 'AGE', 'SHORTNESS_OF_BREATH']",4,0.5289,0.6009,0.455,0.531,0.5638,0.5279,0.5252
4,GENDER,"['WHEEZING', 'YELLOW_FINGERS', 'AGE', 'GENDER']",4,0.5089,0.5921,0.4234,0.5133,0.5499,0.5078,0.5203
