Feature A,Feature B,Association score,Potential redundancy
SMOKING,ANXIETY,-0.0615,MINIMAL REDUNDANCY (Orthogonal signals)
ALLERGY,COUGHING,-0.0602,MINIMAL REDUNDANCY (Orthogonal signals)
ALCOHOL_CONSUMING,SWALLOWING_DIFFICULTY,0.0514,MINIMAL REDUNDANCY (Orthogonal signals)
PEER_PRESSURE,CHEST_PAIN,-0.0477,MINIMAL REDUNDANCY (Orthogonal signals)
YELLOW_FINGERS,ALCOHOL_CONSUMING,0.0472,MINIMAL REDUNDANCY (Orthogonal signals)
CHRONIC_DISEASE,ALCOHOL_CONSUMING,-0.0444,MINIMAL REDUNDANCY (Orthogonal signals)
CHRONIC_DISEASE,ALLERGY,-0.0418,MINIMAL REDUNDANCY (Orthogonal signals)
CHRONIC_DISEASE,SHORTNESS_OF_BREATH,-0.041,MINIMAL REDUNDANCY (Orthogonal signals)
SMOKING,FATIGUE,0.0394,MINIMAL REDUNDANCY (Orthogonal signals)
SMOKING,CHRONIC_DISEASE,0.0378,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,ANXIETY,-0.0376,MINIMAL REDUNDANCY (Orthogonal signals)
ALLERGY,SHORTNESS_OF_BREATH,-0.0372,MINIMAL REDUNDANCY (Orthogonal signals)
SMOKING,PEER_PRESSURE,-0.0353,MINIMAL REDUNDANCY (Orthogonal signals)
ANXIETY,WHEEZING,-0.0341,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,ALCOHOL_CONSUMING,-0.0333,MINIMAL REDUNDANCY (Orthogonal signals)
SWALLOWING_DIFFICULTY,CHEST_PAIN,0.0331,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,ALLERGY,0.0318,MINIMAL REDUNDANCY (Orthogonal signals)
PEER_PRESSURE,ALCOHOL_CONSUMING,0.0295,MINIMAL REDUNDANCY (Orthogonal signals)
YELLOW_FINGERS,SHORTNESS_OF_BREATH,-0.0295,MINIMAL REDUNDANCY (Orthogonal signals)
ANXIETY,PEER_PRESSURE,-0.0286,MINIMAL REDUNDANCY (Orthogonal signals)
WHEEZING,CHEST_PAIN,-0.0283,MINIMAL REDUNDANCY (Orthogonal signals)
GENDER,SMOKING,-0.0272,MINIMAL REDUNDANCY (Orthogonal signals)
PEER_PRESSURE,SHORTNESS_OF_BREATH,-0.0267,MINIMAL REDUNDANCY (Orthogonal signals)
PEER_PRESSURE,CHRONIC_DISEASE,-0.0257,MINIMAL REDUNDANCY (Orthogonal signals)
SMOKING,COUGHING,0.0256,MINIMAL REDUNDANCY (Orthogonal signals)
SMOKING,SHORTNESS_OF_BREATH,-0.0255,MINIMAL REDUNDANCY (Orthogonal signals)
AGE,SMOKING,-0.025,MINIMAL REDUNDANCY (Orthogonal signals)
ANXIETY,SWALLOWING_DIFFICULTY,0.0237,MINIMAL REDUNDANCY (Orthogonal signals)
