Epoch,Train Loss,Val Loss,Val Accuracy,Val Balanced Acc,Val ROC-AUC,Time (s)
1,0.6947,0.6971,0.5044,0.502,0.5033,15.32
2,0.6929,0.6964,0.5044,0.5056,0.5042,10.57
3,0.691,0.6958,0.5156,0.5167,0.4888,10.35
4,0.6908,0.6959,0.48,0.479,0.494,10.4
5,0.6913,0.6954,0.48,0.4782,0.4995,10.41
6,0.692,0.6957,0.4978,0.4983,0.49,10.19
7,0.6907,0.6944,0.4933,0.4937,0.5012,10.53
8,0.6905,0.6948,0.5,0.5002,0.4976,10.48
9,0.6907,0.6963,0.5111,0.5118,0.4908,11.12
10,0.6907,0.6959,0.4978,0.4976,0.4914,10.46
11,0.6902,0.6955,0.4911,0.4914,0.4967,10.65
12,0.6906,0.696,0.4956,0.4957,0.496,10.68
13,0.6904,0.6952,0.4956,0.4956,0.4987,10.94
14,0.6906,0.6958,0.5,0.501,0.4951,10.41
15,0.6913,0.6961,0.4956,0.4927,0.5,10.23
