Model Name,Category,Qubits,Layers,Hilbert Space Dim,Trainable Params,Simulation Device,Features Used,Confusion Matrix,Accuracy,Balanced Accuracy,Sensitivity,Specificity,Precision,F1-Score,ROC-AUC
4-Qubit Noiseless VQC,Quantum (Noiseless),4,2,16,9,default.qubit (statevector),"['WHEEZING', 'YELLOW_FINGERS', 'AGE', 'SHORTNESS_OF_BREATH']","{'True Negative': 124, 'False Positive': 99, 'False Negative': 114, 'True Positive': 113}",0.5267,0.5269,0.4978,0.5561,0.533,0.5148,0.5147
4-Qubit Noisy VQC,Quantum (Noisy NISQ),4,2,16,9,default.mixed (density matrix),"['WHEEZING', 'YELLOW_FINGERS', 'AGE', 'SHORTNESS_OF_BREATH']","{'True Negative': 125, 'False Positive': 98, 'False Negative': 115, 'True Positive': 112}",0.5267,0.527,0.4934,0.5605,0.5333,0.5126,0.5174
6-Qubit Noiseless VQC,Quantum (Noiseless),6,2,64,13,default.qubit (statevector),"['COUGHING', 'PEER_PRESSURE', 'AGE', 'YELLOW_FINGERS', 'SHORTNESS_OF_BREATH', 'CHEST_PAIN']","{'True Negative': 70, 'False Positive': 153, 'False Negative': 58, 'True Positive': 169}",0.5311,0.5292,0.7445,0.3139,0.5248,0.6157,0.5555
8-Qubit Noiseless VQC,Quantum (Noiseless),8,2,256,17,default.qubit (statevector),"['COUGHING', 'PEER_PRESSURE', 'AGE', 'ANXIETY', 'ALLERGY', 'SHORTNESS_OF_BREATH', 'CHEST_PAIN', 'CHRONIC_DISEASE']","{'True Negative': 121, 'False Positive': 102, 'False Negative': 130, 'True Positive': 97}",0.4844,0.485,0.4273,0.5426,0.4874,0.4554,0.499
Logistic Regression (4 Feats),Classical Baseline,0,0,0,5,Classical CPU (Scikit-Learn),"['WHEEZING', 'YELLOW_FINGERS', 'AGE', 'SHORTNESS_OF_BREATH']","{'True Negative': 101, 'False Positive': 122, 'False Negative': 95, 'True Positive': 132}",0.5177777777777778,0.517206297781553,0.5814977973568282,0.452914798206278,0.5196850393700787,0.5488565488565489,0.5256119001995219
Classical Linear SVM (4 Feats),Classical Baseline,0,0,0,5,Classical CPU (Scikit-Learn),"['WHEEZING', 'YELLOW_FINGERS', 'AGE', 'SHORTNESS_OF_BREATH']","{'True Negative': 111, 'False Positive': 112, 'False Negative': 109, 'True Positive': 118}",0.5088888888888888,0.5087908180399439,0.5198237885462555,0.4977578475336323,0.5130434782608696,0.5164113785557987,0.49721459473341106
Classical RBF SVM (4 Feats),Classical Baseline,0,0,0,N/A,Classical CPU (Scikit-Learn),"['WHEEZING', 'YELLOW_FINGERS', 'AGE', 'SHORTNESS_OF_BREATH']","{'True Negative': 120, 'False Positive': 103, 'False Negative': 111, 'True Positive': 116}",0.5244444444444445,0.524564903893641,0.5110132158590308,0.5381165919282511,0.5296803652968036,0.5201793721973094,0.5317951047984038
Logistic Regression (6 Feats),Classical Baseline,0,0,0,7,Classical CPU (Scikit-Learn),"['COUGHING', 'PEER_PRESSURE', 'AGE', 'YELLOW_FINGERS', 'SHORTNESS_OF_BREATH', 'CHEST_PAIN']","{'True Negative': 88, 'False Positive': 135, 'False Negative': 72, 'True Positive': 155}",0.54,0.5387191086703147,0.6828193832599119,0.39461883408071746,0.5344827586206896,0.5996131528046421,0.5531103692143576
Classical RBF SVM (6 Feats),Classical Baseline,0,0,0,N/A,Classical CPU (Scikit-Learn),"['COUGHING', 'PEER_PRESSURE', 'AGE', 'YELLOW_FINGERS', 'SHORTNESS_OF_BREATH', 'CHEST_PAIN']","{'True Negative': 108, 'False Positive': 115, 'False Negative': 89, 'True Positive': 138}",0.5466666666666666,0.5461172240769641,0.6079295154185022,0.484304932735426,0.5454545454545454,0.575,0.5315876810019557
Classical RBF SVM (15 Feats),Classical Baseline,0,0,0,N/A,Classical CPU (Scikit-Learn),"['GENDER', 'AGE', 'SMOKING', 'YELLOW_FINGERS', 'ANXIETY', 'PEER_PRESSURE', 'CHRONIC_DISEASE', 'FATIGUE', 'ALLERGY', 'WHEEZING', 'ALCOHOL_CONSUMING', 'COUGHING', 'SHORTNESS_OF_BREATH', 'SWALLOWING_DIFFICULTY', 'CHEST_PAIN']","{'True Negative': 105, 'False Positive': 118, 'False Negative': 106, 'True Positive': 121}",0.5022222222222222,0.5019458327571562,0.5330396475770925,0.47085201793721976,0.5062761506276151,0.51931330472103,0.5160111416210664
Random Forest (15 Feats),Classical Baseline,0,0,0,N/A,Classical CPU (Scikit-Learn),"['GENDER', 'AGE', 'SMOKING', 'YELLOW_FINGERS', 'ANXIETY', 'PEER_PRESSURE', 'CHRONIC_DISEASE', 'FATIGUE', 'ALLERGY', 'WHEEZING', 'ALCOHOL_CONSUMING', 'COUGHING', 'SHORTNESS_OF_BREATH', 'SWALLOWING_DIFFICULTY', 'CHEST_PAIN']","{'True Negative': 129, 'False Positive': 94, 'False Negative': 106, 'True Positive': 121}",0.5555555555555556,0.5557574919499813,0.5330396475770925,0.57847533632287,0.5627906976744186,0.5475113122171946,0.5638865293060193
