Feature,Mutual_Information,ANOVA_F_Statistic,Random_Forest_Gini,MI_Rank,F_Rank,RF_Rank,Composite_Score
PEER_PRESSURE,0.010522192162744304,0.15389604482470648,0.05521310425905537,4.0,10.0,2.0,5.333333333333333
YELLOW_FINGERS,0.027385919356883726,0.8106918632708009,0.050431548336082335,1.0,6.0,10.0,5.666666666666667
SMOKING,0.010970803708036936,2.1104210755081203,0.0490936552514468,3.0,4.0,11.0,6.0
AGE,0.0006808793549473169,0.25553480780539645,0.2945450115524246,10.0,9.0,1.0,6.666666666666667
CHRONIC_DISEASE,0.005922034433132106,2.386397359206547,0.04853037541000051,6.0,3.0,12.0,7.0
SHORTNESS_OF_BREATH,0.016348755457204156,0.011412570973535235,0.051520890986977985,2.0,13.0,6.0,7.0
COUGHING,0.0,0.45870949130448235,0.05248433218828357,13.0,7.0,4.0,8.0
CHEST_PAIN,0.0019833831139222102,0.07863809023509075,0.053351600494479595,9.0,12.0,3.0,8.0
ALCOHOL_CONSUMING,0.0026235078088190367,4.927034717739483,0.043660824305295325,8.0,1.0,15.0,8.0
GENDER,0.0,1.2217571667027824,0.05096499829540197,13.0,5.0,8.0,8.666666666666666
ANXIETY,0.008442791040210729,0.35668064448969616,0.04808567487463866,5.0,8.0,13.0,8.666666666666666
ALLERGY,0.004258080854263158,0.0007823962888494701,0.05244731209958969,7.0,15.0,5.0,9.0
WHEEZING,0.0,4.2417407713539514,0.04757298219528185,13.0,2.0,14.0,9.666666666666666
SWALLOWING_DIFFICULTY,0.0,0.11893383331950787,0.051505113423427784,13.0,11.0,7.0,10.333333333333334
FATIGUE,0.0,0.011181041443857013,0.050592576327614096,13.0,14.0,9.0,12.0
