Epoch,Train Loss,Val Loss,Val Accuracy,Val Balanced Acc,Val ROC-AUC,Time (s)
1,0.6935,0.693,0.4978,0.4969,0.5123,2.13
2,0.6927,0.6926,0.5156,0.5159,0.5205,1.69
3,0.6915,0.693,0.5178,0.518,0.5217,1.71
4,0.691,0.6942,0.5133,0.512,0.5145,1.78
5,0.6911,0.6954,0.5222,0.5186,0.5137,1.67
6,0.6908,0.6954,0.5156,0.5153,0.5083,1.71
7,0.6901,0.6958,0.5133,0.5125,0.5043,1.74
8,0.6895,0.6955,0.5222,0.5215,0.5051,1.75
9,0.6892,0.6957,0.5044,0.5047,0.5003,1.8
10,0.6892,0.6965,0.5067,0.505,0.4952,1.72
11,0.6885,0.6961,0.5,0.4993,0.4958,1.75
12,0.6887,0.6964,0.5022,0.5009,0.4912,1.7
13,0.6886,0.6969,0.4978,0.4964,0.491,1.92
14,0.6884,0.6972,0.4867,0.487,0.4903,1.68
15,0.6894,0.6999,0.4956,0.4919,0.4737,1.72
16,0.6884,0.6984,0.4867,0.4864,0.481,1.73
17,0.6882,0.6987,0.4644,0.463,0.4796,1.84
18,0.6887,0.6992,0.4867,0.4865,0.4769,1.73
19,0.6886,0.6991,0.5022,0.5023,0.4782,1.85
20,0.6885,0.6995,0.4778,0.4769,0.4753,1.73
