Epoch,Train Loss,Train Accuracy,Train Balanced Acc,Val Loss,Val Accuracy,Val Balanced Acc,Val Sensitivity,Val Specificity,Val ROC-AUC,Epoch Time (s)
1,0.6952,0.5234,0.5212,0.698,0.4978,0.4954,0.6754,0.3153,0.5028,0.32
2,0.6927,0.521,0.5228,0.6969,0.5044,0.5057,0.4079,0.6036,0.4999,0.29
3,0.691,0.5315,0.5321,0.6968,0.4933,0.4937,0.4693,0.518,0.4895,0.3
4,0.6907,0.5319,0.5311,0.6968,0.4778,0.4768,0.5482,0.4054,0.4894,0.37
5,0.6913,0.5262,0.5247,0.6963,0.4733,0.4717,0.5921,0.3514,0.4928,0.28
6,0.6921,0.5334,0.534,0.6962,0.5044,0.5047,0.4825,0.527,0.4877,0.35
7,0.6907,0.5357,0.5365,0.695,0.4933,0.4937,0.4649,0.5225,0.5018,0.26
8,0.6905,0.5362,0.5367,0.6956,0.4978,0.4979,0.4868,0.509,0.4923,0.28
9,0.6907,0.5405,0.5413,0.6973,0.5,0.5004,0.4737,0.527,0.4859,0.29
10,0.6907,0.5367,0.5368,0.6967,0.4956,0.4953,0.5132,0.4775,0.4882,0.3
11,0.6902,0.5372,0.5375,0.6963,0.4933,0.4935,0.4825,0.5045,0.4944,0.35
12,0.6907,0.5381,0.5385,0.6968,0.4911,0.4913,0.4781,0.5045,0.489,0.27
13,0.6904,0.5353,0.5355,0.696,0.4867,0.4867,0.4868,0.4865,0.4911,0.26
14,0.6906,0.5338,0.5353,0.6965,0.4844,0.4857,0.3904,0.5811,0.4884,0.34
15,0.6914,0.5276,0.5259,0.6969,0.4867,0.4847,0.6316,0.3378,0.4966,0.27
16,0.6908,0.5343,0.5354,0.6971,0.4911,0.4918,0.443,0.5405,0.4882,0.26
17,0.6909,0.5353,0.5353,0.6963,0.4867,0.4865,0.5,0.473,0.4932,0.35
18,0.6912,0.5353,0.5364,0.6973,0.4867,0.4874,0.4298,0.545,0.4861,0.26
19,0.6913,0.5324,0.5333,0.6976,0.4956,0.496,0.4605,0.5315,0.487,0.26
20,0.6906,0.5362,0.5366,0.6965,0.4956,0.4956,0.4912,0.5,0.4935,0.26
