Feature,Mutual Information,F-Statistic,p-value,RF Importance,Rank_MI,Rank_F,Rank_RF,Composite_Score,Initial Rank
ALCOHOL_CONSUMING,0.0026235078088190367,4.927034717739483,0.026546299665420672,0.07154207996044108,8.0,1.0,2.0,3.6666666666666665,1
SMOKING,0.010970803708036936,2.1104210755081203,0.1464487406476519,0.05334745328293305,3.0,4.0,5.0,4.0,2
WHEEZING,0.0,4.2417407713539514,0.03956495561860447,0.06644046535510986,11.0,2.0,3.0,5.333333333333333,3
CHRONIC_DISEASE,0.005922034433132106,2.386397359206547,0.12254636573305444,0.05133092283179453,6.0,3.0,8.0,5.666666666666667,4
YELLOW_FINGERS,0.027385919356883726,0.8106918632708009,0.36801921664631726,0.05050571104905833,1.0,6.0,11.0,6.0,5
SHORTNESS_OF_BREATH,0.016348755457204156,0.011412570973535235,0.91493436006917,0.06180955050182498,2.0,13.0,4.0,6.333333333333333,6
AGE,0.0006808793549473169,0.25553480780539645,0.6132576851159942,0.2841936050961831,10.0,9.0,1.0,6.666666666666667,7
GENDER,0.0,1.2217571667027824,0.2691429420025454,0.053295940443658735,11.0,5.0,6.0,7.333333333333333,8
COUGHING,0.0,0.45870949130448235,0.49830245718785887,0.05232725721453048,11.0,7.0,7.0,8.333333333333334,9
ANXIETY,0.008442791040210729,0.35668064448969616,0.550420033641322,0.03758429437141934,5.0,8.0,14.0,9.0,10
PEER_PRESSURE,0.010522192162744304,0.15389604482470648,0.6948795054723225,0.032831340848142834,4.0,10.0,15.0,9.666666666666666,11
CHEST_PAIN,0.0019833831139222102,0.07863809023509075,0.779179256936439,0.05075882971659236,9.0,12.0,10.0,10.333333333333334,12
SWALLOWING_DIFFICULTY,0.0,0.11893383331950787,0.7302283233992382,0.05090911726625018,11.0,11.0,9.0,10.333333333333334,12
ALLERGY,0.004258080854263158,0.0007823962888494701,0.97768766631792,0.041957813531700944,7.0,15.0,12.0,11.333333333333334,14
FATIGUE,0.0,0.011181041443857013,0.9157984089774686,0.04116561853036012,11.0,14.0,13.0,12.666666666666666,15
