Feature,Count,Mean,Std,Min,Q1 (25%),Median (50%),Q3 (75%),Max,IQR,Skewness,Kurtosis,Potential Outliers (Tukey)
AGE,3000,55.169,14.723746191123832,30.0,42.0,55.0,68.0,80.0,26.0,0.003297510519139123,-1.1947773187599315,0
SMOKING,3000,1.491,0.5000023341059224,1.0,1.0,1.0,2.0,2.0,1.0,0.03602384784372003,-2.0000360846654512,0
YELLOW_FINGERS,3000,1.514,0.4998872830601466,1.0,1.0,2.0,2.0,2.0,1.0,-0.056049993806387186,-1.9981909703967704,0
ANXIETY,3000,1.494,0.5000473468746455,1.0,1.0,1.0,2.0,2.0,1.0,0.02401373672301777,-2.0007576237536817,0
PEER_PRESSURE,3000,1.499,0.5000823540047469,1.0,1.0,1.0,2.0,2.0,1.0,0.00400200928264674,-2.0013186412385253,0
CHRONIC_DISEASE,3000,1.5096666666666667,0.49998988541508976,1.0,1.0,2.0,2.0,2.0,1.0,-0.03869324437330567,-1.999836502063688,0
FATIGUE,3000,1.4896666666666667,0.4999765471881005,1.0,1.0,1.0,2.0,2.0,1.0,0.04136284742167453,-1.999622641503253,0
ALLERGY,3000,1.5066666666666666,0.5000389003429376,1.0,1.0,2.0,2.0,2.0,1.0,-0.02668238039670676,-2.0006222436280128,0
WHEEZING,3000,1.4973333333333334,0.5000762418252857,1.0,1.0,1.0,2.0,2.0,1.0,0.010672155192497512,-2.001220697124281,0
ALCOHOL_CONSUMING,3000,1.4913333333333334,0.500008224896228,1.0,1.0,1.0,2.0,2.0,1.0,0.034689222564951626,-2.0001305230757125,0
COUGHING,3000,1.5106666666666666,0.4999695444764846,1.0,1.0,2.0,2.0,2.0,1.0,-0.042697730850216005,-1.9995103555730211,0
SHORTNESS_OF_BREATH,3000,1.488,0.49993930942102177,1.0,1.0,1.0,2.0,2.0,1.0,0.04803785223769542,-1.9990254933035836,0
SWALLOWING_DIFFICULTY,3000,1.4896666666666667,0.4999765471881005,1.0,1.0,1.0,2.0,2.0,1.0,0.04136284742167453,-1.999622641503253,0
CHEST_PAIN,3000,1.4986666666666666,0.5000815760951461,1.0,1.0,1.0,2.0,2.0,1.0,0.00533602067737997,-2.00130617588992,0
