,AGE,SMOKING,YELLOW_FINGERS,ANXIETY,PEER_PRESSURE,CHRONIC_DISEASE,FATIGUE,ALLERGY,WHEEZING,ALCOHOL_CONSUMING,COUGHING,SHORTNESS_OF_BREATH,SWALLOWING_DIFFICULTY,CHEST_PAIN,GENDER_ENCODED,TARGET_ENCODED
AGE,1.0,-0.020519551206346062,0.015997087056830395,0.03002425572974543,0.003941408649707546,-0.02539440470506876,-0.0023350029305989808,0.025132417512533645,-0.01796947047238633,-0.020874312146908217,-0.024985343375952176,-0.015850243938107012,-0.0014998081158778083,-0.005409339625453518,0.010933455357562412,-0.035644948556460575
SMOKING,-0.020519551206346062,1.0,-0.0014968292830358826,-0.055562335144837355,-0.03204125517604421,0.04569727661955706,0.019635374199971183,0.004907898016867123,0.0005707672547740583,0.0030222769555702574,0.01172189968967654,-0.01577243105256491,-0.0017059740236236086,-0.03138652994177384,-0.02850452613035858,0.014219327380208724
YELLOW_FINGERS,0.015997087056830395,-0.0014968292830358826,1.0,0.012341727193607618,0.011393823366581603,-0.01321565067148915,-0.01076118333245286,-0.0057094125221168095,0.004151019866176824,0.027166731199828403,0.010075575848641974,-0.03401779895404886,0.018589924194693547,-0.006594609031963473,0.014411611265948282,0.013003367561963583
ANXIETY,0.03002425572974543,-0.055562335144837355,0.012341727193607618,1.0,-0.02469249397172166,0.01690304278821733,-0.006249784723383191,-0.001173522140173944,-0.01606538522003215,-0.001541675932702632,-0.01708245068307645,-0.03496725569472668,0.03376164116255273,0.015969206599684253,-0.023890760719793583,-0.014524758231852054
PEER_PRESSURE,0.003941408649707546,-0.03204125517604421,0.011393823366581603,-0.02469249397172166,1.0,-0.021298690116682534,-0.017378413069126287,0.011361032634522756,-0.01134418402872157,0.01396745964453392,-0.012626898896063473,-0.028722997510998795,0.015962107744944557,-0.03933888521607657,0.010019123102036986,-0.024644490419341167
CHRONIC_DISEASE,-0.02539440470506876,0.04569727661955706,-0.01321565067148915,0.01690304278821733,-0.021298690116682534,1.0,0.011070655408614771,-0.01959651548873321,0.022107557516188342,-0.02834110967758704,-0.0037473308413263715,-0.020212265350269484,0.016406125303123676,-0.013951101588736572,0.008488178362981977,-0.010234649704653605
FATIGUE,-0.0023350029305989808,0.019635374199971183,-0.01076118333245286,-0.006249784723383191,-0.017378413069126287,0.011070655408614771,1.0,0.004943717460531765,0.015226579690169785,0.0003085566911309153,-0.0015597991560028534,0.02951880540268037,0.010243930852244003,0.024616900701139432,0.0021934528817000184,0.0022486421347895987
ALLERGY,0.025132417512533645,0.004907898016867123,-0.0057094125221168095,-0.001173522140173944,0.011361032634522756,-0.01959651548873321,0.004943717460531765,1.0,0.0054050017752513444,-0.01177170365617635,-0.045632218278596884,-0.042362633512596524,0.012946137810313398,0.01870395136672054,0.013210638578152592,0.006507713686419144
WHEEZING,-0.01796947047238633,0.0005707672547740583,0.004151019866176824,-0.01606538522003215,-0.01134418402872157,0.022107557516188342,0.015226579690169785,0.0054050017752513444,1.0,-0.004093117572749118,0.016117675040287313,-0.012131666914131636,-0.023448897159204597,-0.016014506925478626,-0.009284091973752935,-0.038605995425827586
ALCOHOL_CONSUMING,-0.020874312146908217,0.0030222769555702574,0.027166731199828403,-0.001541675932702632,0.01396745964453392,-0.02834110967758704,0.0003085566911309153,-0.01177170365617635,-0.004093117572749118,1.0,0.008372940913836087,0.0009177355141441291,0.04299075027696358,-0.004046844580521583,-0.009173333195873256,-0.03046543685697139
COUGHING,-0.024985343375952176,0.01172189968967654,0.010075575848641974,-0.01708245068307645,-0.012626898896063473,-0.0037473308413263715,-0.0015597991560028534,-0.045632218278596884,0.016117675040287313,0.008372940913836087,1.0,-0.023500115658135094,0.003775887808659131,0.01072603473051691,-0.0055339448520861445,0.03308724520188636
SHORTNESS_OF_BREATH,-0.015850243938107012,-0.01577243105256491,-0.03401779895404886,-0.03496725569472668,-0.028722997510998795,-0.020212265350269484,0.02951880540268037,-0.042362633512596524,-0.012131666914131636,0.0009177355141441291,-0.023500115658135094,1.0,-0.018505281478036067,0.01060575926387486,0.012228054644904332,-0.0023795233506023953
SWALLOWING_DIFFICULTY,-0.0014998081158778083,-0.0017059740236236086,0.018589924194693547,0.03376164116255273,0.015962107744944557,0.016406125303123676,0.010243930852244003,0.012946137810313398,-0.023448897159204597,0.04299075027696358,0.003775887808659131,-0.018505281478036067,1.0,0.015281540351458558,-0.01647801469661388,-0.008421071434793313
CHEST_PAIN,-0.005409339625453518,-0.03138652994177384,-0.006594609031963473,0.015969206599684253,-0.03933888521607657,-0.013951101588736572,0.024616900701139432,0.01870395136672054,-0.016014506925478626,-0.004046844580521583,0.01072603473051691,0.01060575926387486,0.015281540351458558,1.0,-0.0013085060906671256,0.0026988705876553882
GENDER_ENCODED,0.010933455357562412,-0.02850452613035858,0.014411611265948282,-0.023890760719793583,0.010019123102036986,0.008488178362981977,0.0021934528817000184,0.013210638578152592,-0.009284091973752935,-0.009173333195873256,-0.0055339448520861445,0.012228054644904332,-0.01647801469661388,-0.0013085060906671256,1.0,-0.016113862052801166
TARGET_ENCODED,-0.035644948556460575,0.014219327380208724,0.013003367561963583,-0.014524758231852054,-0.024644490419341167,-0.010234649704653605,0.0022486421347895987,0.006507713686419144,-0.038605995425827586,-0.03046543685697139,0.03308724520188636,-0.0023795233506023953,-0.008421071434793313,0.0026988705876553882,-0.016113862052801166,1.0
